,a
33360020,abff22b5d7ab36c8f70f51cc8456f96e11774b9c	SOXAJCN12A8C13ECA0	2
11463139,730e7c9b13502507e59eb9137365be93a4d40528	SOKZRSC12A58A79A32	2
17689244,93886b4354312f4a94ee1fd8c03212305cfa5ec5	SOVBQXG12AB0187A99	1
26796105,87c5d3a9defb28ea043a7d555b46e912651dc62e	SOPCTBB12AF72A1B64	1
27404624,39c88ddd4b0199ded5b4b9251549e5012855c14d	SOIPSJB12A67ADD6C0	1
33240440,7ad61b3a503ed1d76e92e97800bf6c4a4b02c035	SOFMYVK12A58A7A675	1
34694044,c45ab386c8100179e238ad597c415369068cc72d	SOIRJGI12AF72A3A57	1
30234370,9680742cc49af8444db420aa625989e59a6eb7df	SOSYNIY12A6701D630	3
11153877,71d23a1a20a6d8774f7e5023560be93ed9a39959	SOWWTVN12A6D4F8154	1
42952137,4b63415a2fbd335d64bbb69fd58013dc21b5eacc	SOVSXDP12AB01893A8	1
6540394,3013d09670e0b09771ba7dae51f582f9b15ac812	SOAJHHJ12A6BD4E204	6
22558595,e1c074097e214e759acbfcd936d5143bb04d4eb9	SOTAIQR12A8C13403B	2
44578829,bec487b66b14865f9a02094e7c6cd95eaa8970f2	SOISVIQ12AB0181451	1
47615314,483e376cceef4cee244e1404680f629135a57896	SONZHLI12A58A7E86D	1
3497364,cc71f6f91ff830b942f1146b7a5e2eda9b58fbb3	SOGOSBA12A8C137EDB	1
48054558,f69a34aafa4e25f7400d723db99e9ee9f02f5c86	SOGRWVE12A8AE488B1	13
46635426,7601bfb90fe8853c4864edb8faccdfd8abc34d40	SOODZZZ12A6D4F7567	1
1649001,55c483b10d315b4db918340000189760f7cf4e97	SOWRORZ12A8C1351A2	1
33334678,666dfb06140931a7d2ad84751283f2008ebe52fc	SODZBKM12AB01804F1	1
10642623,b4f9ed6b8ed2390bbe39e1193c2bff07857cf693	SOLBILS12A6D4F79C2	5
46507137,d2ac880999e93a1dffcee084b3f75110391c3d80	SOTWNDJ12A8C143984	3
14266626,fd2e8f7a73aceb8ef77e1fcfd58909e815ade83b	SOQXWNJ12AB0184256	1
34575179,45b6dcce53b3538345688e1d2cb5bcc8cbfdfecc	SOVYUYU12A8C13E620	1
41302378,d3d27c31781a0f8f7533ed6c24aa573f59ce90d2	SOHEZBY12A6701F62F	2
3942997,92c7e9cf96027bc65b15b93693d0b0a663237de9	SOOEXHQ12AB0182BC5	2
26360933,ad14ed59025f3d968d30c51549de809b1fcc45b4	SOVACWA12AB018382C	1
17778817,806eb0193a7336f8bab57ab788f19431f4511aea	SOKCJPR12AF72AC24D	1
18425545,d5da0b77833c80b47b3880e028bc591bc25b0db0	SOPUXGJ12A8C13EA3F	1
41309240,e2f7669fc782afcc760d9f7745b16f49cb5c545c	SOIFWAL12A6310F34D	5
2512448,5304de8ff0c6d2b987e33e4a4abd5bb5aff5fb7d	SOZCBPN12A8C14136F	1
34083889,f5f1bd847c84fba08721c1343963f0231000e84d	SOWYCZK12A58A7B48B	1
44950587,e9f958b32a01a10a8ac27206d8a44b54e09062de	SOXQYSC12A6310E908	1
8525680,1b234ad7e2adf7c0f017df5cdc7b6d34d2f6cf84	SOZFKWW12A67AE0D62	1
3542012,d793d3637be656b1bc9867fe497ac937dd1f5194	SOYDBYG12AB017DAD2	1
21855825,f0acd1b99768f71673973559cb5fa2183bbd104b	SOPJTHE12A81C23096	1
45470521,d0f28f7c44e6f45fae45f1b9482e33d98efa3d5d	SOFDKZO12AF72A652C	2
20010245,634969648a02134be203860d688a3dfd390ad28b	SOMMONH12A6D4F41CD	4
27712096,3b0a358a263c15527c287f7e9fa1a9756f897d0b	SOQZURJ12A8AE49071	3
25353128,15e3ab330e6a4040d701a463e9055deb166c25a8	SONPAHG12A8C13E130	2
5875492,949375c4807e7e6aca3cf92cde766dcc564530a0	SOADCFY12A6310E353	2
33454741,bbdc5139f913081717f9a645086574543290a210	SOVDPWE12A58A7C77D	10
35817630,82cb8f0b4c8d154c08b70bfce26b941d77aad47e	SOPZYPZ12A8C13A9DD	1
10055305,951f1edfedf105875ab188f4cc9e18c686a8295b	SOAEHGS12A8C13F4F8	1
13240143,c2b6a366aabe6db2d217f077b7446eac267cf80a	SOJIVQV12A6D4F74D4	1
44546716,3fc6eed8e0b9183d06712169aa91a3e7aa9b8110	SOEWWCI12AB018A677	1
27888371,8847179455f6b037e69996ef1f4b213168f0e970	SOQTXEK12A8AE473DC	1
32701110,595042687d991ba239e447829fbb332ead81fa18	SOWLKMP12A58A7CDCA	5
36416723,1ffab7378ad46e69a3a236e37c0af0244219c2df	SOCXCTS12AC468A380	2
32011431,275fea3955a0351c588e0f80557c54092afda8bd	SORGZKX12A6310E2F5	6
39647660,b0da4773ad996084e8f71d11b64cf898554347e0	SOQBPJO12A6D4F7A7A	4
10510902,01e4ff10ebc252e3c9bffbf5c9a81631dac7d4dc	SOFQZSH12A8C13D66A	1
26912235,efe32f16479a9f5c72806e7a5e020663f3090f73	SOYSKFE12A8C143AF3	1
43716063,e6466100eb78789481d2d2b4f170e5ec1efbc4dd	SOWEJXA12A6701C574	1
12753667,1fa3e801570afb9d474a5a2a66ee0523b2fa88da	SOHJVCK12A8C1358B7	1
38417161,d5fd26ccd6b9db327d4698b0c2ae646b2cfbd176	SOQVCWW12A6D4FD1F5	1
45627659,23e33f0043ccc21cd33e3f3ce36944373df6842f	SOLYLAI12AB0181A09	1
36756412,e99f3e7aa240ff8fab16cdbac9ec58e5e53ad6a7	SOAPETK12AB01852BE	2
24315690,5a07d9e24e9efa78f6525fc730c118bdf0457d34	SOBKLTU12A58A7FB77	1
10996853,dba6eb59dbcdf3357518071b842b2d83a53d3b6b	SONIAKP12A8C130514	3
29616154,577c1f784d97897297596c4fa68ae9028ca65ecd	SOAUWYT12A81C206F1	1
23906451,be76f77a3f72212b309dd53f9fba6537d4f95993	SOLCKAS12A8C14242A	1
2628183,f82e540a2aef704dd2283c94cedfaf06c3112ec3	SOBRSTS12AB0184923	1
2483511,da073f9e4d5afa5d1b36bc43d11525643c1e9317	SOXMMNK12A6310D7C3	1
11280386,fad3d8ba0a649e3bef672ab9b8ead25de3163112	SOFKABN12A8AE476C6	2
4760402,dec506deab8a553dc95a848c0cf0fa95c810bdf7	SOLZXEF12A67ADE6BD	15
22737990,8137f0ae78e298b75cb0a7fa517af6f85cd81587	SOIPMZO12AB017D90D	1
19438655,9b03b399a9868b92e3806265c1ae85da8f3ab56f	SOTWSXL12A8C143349	8
34026406,098ede61f85c5a00a732359cd5c46970e63a118c	SOWFIFP12A8C13A9EE	1
37143905,ac0562b678cb0e94b1f7a601c09e65150c3180bb	SOBRVXV12A8C13B7F0	1
793150,42af12edbeff0bd66531cc4c3afdb56375ac3d38	SOMVTMT12A6D4F951D	1
10714419,626905f9bf1b80c7a4e18fe8f725717b914bf183	SOUTEVB12AB0182B0E	1
34147156,18a118e50cb4ab28b465ebcb2c9cface7c7f8c16	SOYYNKJ12A6701D38C	1
15591697,f9288a7b1e2ee84849b54347d04e1fddae7cddd6	SOPYQKP12AF72ACBBB	1
413674,8568fa36610fae353d7d4c40806b10d115d7e6b8	SOCHMAL12AB01825AD	3
18829567,2e4f09cd5d0ac4e10bf52db14afbb1113ac9563a	SOKGOUQ12AF72A9B39	22
6284841,f8c5e07001f7212c6b33cb19709613bac699e1ae	SOPOHNL12A8C134BDA	1
6207375,988b2786d5f054c2b1d441db6ba36a5280c9f1bf	SOGVXLY12A8C135496	1
45759709,967685ee855da852b8bd6c0d05064542da9ec086	SOVIVDU12A8C1452A8	1
36987458,254e33facd0c9d07f6e1e31bfa88b13e579ef178	SOXQDYT12A8C13A9B6	5
22078655,bd90c1620ea07f09ceda7f60094dc2a019493ce3	SOYOHAO12A670214EC	1
34463222,261cce48d1cdad12af86ba6981586c461ab80117	SOKPUIX12A8C1439E1	3
5637745,5959cdddb49ab37dd87adeaefb9fec69e45c29bb	SORLPWQ12A67ADCFF9	1
4829399,3c063b354e12491a882981fea1e49f9587269851	SOMEUED12A6701DBEA	2
46583654,4d29e871f42e08cb6bec381b9786ba564ef3e30e	SOGCDYR12AC961854A	3
34027094,b895b5d8663aaf7da45de2e30c949146822e50a8	SOPWLPQ12A8C140A4C	94
32476039,42e44c90acc6fa674b47ef36974f7bfcea023278	SOWEJXA12A6701C574	2
41153598,b0c519e76b062b82f72f3ef43f7266305521199d	SOHWHGV12A8C1422C7	3
22837998,26af2b47af45e7dd414380740da406fbf07ff667	SOGCXOA12AB01821FB	1
7691123,1bd73c2ca56ebf89822719d03f9440d4c562b401	SOBXHDL12A81C204C0	2
6253718,efb34b126fed36004d05179a7ace81bb8c3cafb6	SOJUYDG12A8C1345FF	1
22229858,e3fa2f55c09361b0dd11475dc3a505eeef2e7e08	SOMXBFC12AB018AC71	1
16320238,0582bc64a19cf74067f69022f485cea749020944	SOIAMAG12A6701DCFC	2
39590195,1810c0141a84b02804bf88295d34eb5b8c0adf99	SODEPUV12AB0187446	1
28523009,6dd0b2be1b731e171dfc81ca5542a84395ea8079	SOSLRIQ12AB018032E	1
4334535,a83f2ef5bea2839aa1ae1633baf0ce9f99ac2cd0	SOTNJYO12A8C143DAF	1
18026123,53e1fca280869e66a0aad21948ac7c5b97164f91	SOVUCRS12A58A7D207	1
23715890,60110ac227617adef58f2e36fc91dcfe3a31bfb9	SOXHIDK12A58A7CFB3	1
26920029,2214bb663fb74447070f07455979265f4feb4717	SOSHVEI12AF729AF6B	1
30860238,b8ee58ec6556ff4c50ceaed81c82acd9a436d95e	SOABJBU12A8C13F63F	1
17669223,f31996fa2a8b47205459289e9455a44e78dcac3d	SOWPKFT12A8C13F2F8	2
19000559,e87d33113ba0b7112c539522166a66f44181fc24	SONXPMR12A8C140BB8	5
39477336,6a925cb8a68062adb058cacb7fd632b6b22383b9	SOMBREN12A67AE0AF5	5
2234089,dc680cd7564fee510563a0c7f61520a073a24f86	SOHWEKY12A58A817A5	2
29889075,87e82f89b1f57b33e91c0ece27bf83372ed4665f	SOURWFF12A6D223BE7	1
16801691,7371340ecb10e9d0456f9ac00220ab48ef42ea3a	SOQQTEB12A6D4F57AF	6
30216078,bf8a2c770f2a573deea7c8a79c9cc0ba0cffae35	SOYXOUK12AB017BB50	1
12831358,be7d7b2ba07b840ff74c4ea70b9142907b4f8888	SOXQXFE12AB018313B	1
16486713,25a436b8fccc9d3f1d36af0d4d93e6a296aca7be	SOAYATB12A6701FD50	10
41383972,7ccd77acd991b91f4f326cf60b1210775c3ebc6a	SOHDNLD12A8C13D142	1
19347978,5043f5b1c8ac8ddfd2a66169e07de85a4357da93	SOFVHOX12A8C13E68E	2
44942456,8a336d14043b49dd4bfa5e82a82bb87de6c6e9e4	SOFAUIV12A8C13BD56	1
1191770,9b0c33ae3449c10b49a2c78d9521963bf9927270	SOWEJXA12A6701C574	7
21880427,5c61c972d466890efd291f175ee79457a6b6a512	SOWBPNX12A8C13465B	1
4168300,0e1a3a687207aea328d0cac78b4bbac34d3df183	SOSRERB12A8C139735	13
30751563,89bc3e945f715fbb74f247403eb75a2c17445ffa	SOGJXNP12A58A79F19	1
17651463,a53c049a44afc04139a05863cff936fd19e8d98e	SOQGVCS12AF72A078D	1
12939889,1dba3f844547ddd63bbfad53f832aaacbefed107	SOTVEIA12A6D4FBFCC	1
25000640,53ab25ba24f3b1c90a5e7d90ca6efe3fba7e2b67	SOPZIWG12AB0186DC4	15
17455770,1cfebdcc403d06c39a86e739861661979128ceb2	SOFZLFC12AB01858EB	18
42508031,a79b6ec1370e2e9a76ec3bf3bb90cbb5d73cc86e	SOAYOBO12A8C145869	2
10990036,52aa8398355a2fce2c633e1c7e5a2d1037c8948b	SONGMAY12A6D4F8BA0	5
13797039,c1476c93d2afbe409be136d62df274fb9400e7db	SOTWWSP12AB017F5FF	3
38999083,0618ddd37b7f2afaeae4a1b9f37707bdc6c222a6	SOJETML12AB018CB11	1
40435227,95efabb58f60d3f7a2a3b4c7504d22bebb2552fb	SOQRTAF12AB0183DF8	4
17348250,ebfbd96d66e778aebbc45cedf1363b85ec4df803	SODKIGH12A6D4FA580	2
23682985,3d666aa0ae7027299e8acbe5bf7610e27351556a	SODVTFW12A6D4F7DFC	2
4538339,6f416d3b981a5ef0dcb9ce5fbb51f6e9773888c1	SODQBGM12A8C13502F	1
32221025,0250c285a156e93223f0ed3a23da30626d753cab	SOGBGZF12A6D4F6925	1
34121628,b10066eb865dad014e82987d5848afcf2540bc96	SOSNZFV12A58A7EDB8	1
5725574,234423348cb584c99c61af2988c78ed825cdb2e3	SOSYXQQ12AB017E6FD	1
44985729,401b01ed049b1c932fb3c32f8dc46e695a788e55	SOCGXXL12B0B808865	8
28996637,49615a69079ce3155388c35347f4e1021aea534f	SOPDRWC12A8C141DDE	1
36901023,a0ca448e739678ce7518519dbf2dd1154c762bf2	SOUNZHU12A8AE47481	3
980543,713e845facf4ef9a0fe757347afd0544b2c88911	SOZHUKB12A58A7D4FA	4
6393982,5ae73221851b5b97f318288ff6fb4e0e7f1d7d3d	SOVTOOU12A8C1410F2	1
4589138,773fa53bf86216c0f3c03dfb62c6cbfeb9ec90c5	SODPDTO12A8C135429	1
41967305,0b5ffb1537e350931a3c03f45d60169708cae518	SOAUNAX12AB01876D0	2
22468130,79d5e20e094b396135683c7c29bbfd6367878c84	SOCHTHF12AB017E206	6
33853062,e35337359dddb37e71635054b32bd08e57d18236	SOJQHPH12A8C143826	3
13787451,4c2f2fb1077c716702c74894ae92260fd89f8abb	SOLOAMM12AF72A4A16	2
34247288,c815a74813dad70ce5f0bc0cf1bc3ccd5f98d310	SOAAZSL12A8C14047D	2
42937432,0cb4eacdd345cc9bd9bb8f4fd2d677c8b3cec950	SOGUVMD12AB0183C82	1
23391704,7c8e4cd5ce2bb3bf315c7c4c9e5d975e1c7e94fd	SOOQLYZ12AB0184DEF	1
21160982,9e5592c67c9b973def029f92714f2201228298f5	SOPSNTF12AB0183ADB	3
33758516,ffca01c74261a4b8f9f8b07d5f08109e512c5ef8	SOPTLQL12AB018D56F	1
19241315,c0925f0ab36c7baf552d28500a89a7eab283c006	SOXKOIY12A8C13C1EA	1
9329485,0bfba6fe91a7caf76b6de24fe347ce6714b43f75	SOWOFIR12A6D4FDC52	5
26656722,fba8b28ee655930d5937e8116dd40a8805e3a2a6	SOKKHKL12A58A7BF82	1
13314989,cc6233e3970036cf0b0fbd255659cd4922823d81	SOUFTBI12AB0183F65	21
17326857,a750deceaf05d2be605627f59f36afbcdcce53bb	SOPFVER12AB0180FEF	1
9267077,c5cda8105494634b9b21c62f125feb96f7b6146d	SOAWQQX12A8C1452AD	1
6288454,7edd7f5d641c5dac88a4bacfdc9f3f76f0ccf320	SORGTSS12AB018E5B0	1
23829614,eab249ca23ea01ac3590437431a2c099c6c689ab	SOIKTWI12AB017DB72	2
540905,b0b70e79b916ba3be00046bc6bb61083cabd933c	SONHVVE12AB018D038	1
19226893,b91aa350fb8368dbeebe2593ec54cb43bdd04528	SOCQXPE12A58A7A964	2
24379120,73beb8f7b91113b48d1ab1732ab06b1039fff35f	SOBJDRT12A670205F8	1
27315232,17f2014fbc569b9d3c806dd13906c11dc7c91ead	SORMAYN12A6D4F4F21	1
37723524,29be2d017eff6a9b5a67b810f15ced47766ff763	SOAKFVE12A6D4FA1FA	1
47600993,15d4faa7603d892003090f537d08582d19b79596	SOSVTBJ12AB018170B	2
44743180,a7b0592c45269d28a93b6347372b3d8ffc5b94ce	SOCEVRO12AB018CF46	2
35024961,9a7098270012eb04fba290c324d0c272602cb2c3	SOMVBHP12A8C1390F0	1
81015,15d45e75a705119856ca66f0b5497490fb5a8100	SOAUYMU12AB0185CD3	1
48283577,db3fe420d6af4571687d935479bc2d5720e3fe19	SOQORHA12A6D4FD1BC	1
43917048,e2f380a556c51885daaf1c657c1a7ca0c6890027	SOALJBV12AB017FC3A	1
1936296,ea668ad8ae52df5b0bea83a6b0f6db6b467955e9	SOVZGVB12A6310D973	3
26389791,346b737aaf09b03e72259a387ecc161199f9ed94	SOTMREF12A8C140A78	1
14125035,f1d094fc01442db318ac1426c3b348d966d91361	SODIMLV12AB018787C	2
18242033,6d7d4702a04c487127ae7465763b50e452f2ab7b	SOHXKXW12AF729F7AA	5
35070380,a073148a389280b10d0e437dade4047ac3633c1a	SOCFAER12A58A76A51	1
45539122,363d419218084d693660a83b9351bb161fef24f5	SOWUZVU12A6D4F914D	1
41496380,d7d6308771d83a899e87caac1834e84094fb32ff	SOKVJAF12A8C142B25	1
44703785,13ca1ac35b8e3885c5da0f5cf89fe4830d9201b8	SOAXLOI12A8C13A3BB	2
14419617,61538644e8a992f58ee219e53a93aad6bdd67345	SOEXYJK12A6D4F482A	2
22083661,48c1f793bbac69576032afb08c804e2d4f7b4672	SOSDGPH12A8C139E67	3
11600527,dc274b53000a1cb53414a18c6e9a3c3f50f3115a	SOMXDJA12A58A81A9F	1
635395,4a03fc4d2a6830135ca980646ed42d6560b091e4	SOABHYV12A6D4F6D0F	6
44825102,db8a3158f2cf298af1b0f87ea5abc147c90546f3	SOXERNH12A67AD8642	1
18518356,de96006320d6773c4b41e64db2b94c7556ae6c42	SOYOSLH12A6D4FC303	1
27441407,2f1deaa9d6baf804d6e4230fd72fec56b533f7bf	SOVLHCO12A67ADA3C1	1
37403180,3ba4cebeb11596d1c0a066f70bbda78689c6b220	SOMWMXP12A6D4FBE0B	1
1628346,44248e614871d2f3d8c24df395c23fc76c908df5	SORCHJN12AB0181502	1
26765645,9d19c9d84518ff510974fa1aa1041df1db45f18b	SOPEZIS12A8C143307	2
21209506,24224f47aceccc2ab52788797e29b50c577ddb9b	SOVZHYS12A8C14663F	2
1944881,052b0f6fe7e98273c0ddd664d698184bf01b0672	SOAOOXQ12A6D4FA562	15
5499613,5a11e11763fbfed7d39d8db13097419124fc031d	SOZSFWF12A6D4F93D5	1
37540601,0ef57005522bdc317355d533ef1d30d9faa31671	SONSOFE12AB018A2AF	4
34132324,47ffeb67df8d1dee1a7eab49bb091bbc1cd9112c	SOHTSUQ12A58A7AFCE	1
4649739,8f1582bb0b438cb59a7f551ed30f876ba1fe94a9	SOKHYIN12A8C13E5FC	1
6030165,2dbf1b5fccfd16d4318c186eccc99214dd45b5e2	SOZITAX12A6310DA13	1
13684430,aabf7810c6607370fae11a48b486052508a2f3a7	SOTWWSP12AB017F5FF	5
3663272,1fba77bee5fbd31a47e8baf0f259369d8ee123f2	SOOALOT12A8C13ABD9	1
39553250,c82c3ae3f9f3aea284b25d37e3a42884a26e5a17	SONDAJK12A6D4F7047	7
37819845,571ceb814ee6ce1e613ce7dc1722949563a33cd9	SOHYXAY12A6D4F91CE	2
25286186,7d6942e58b9b2669767c90a3161f88ffa4a7e236	SOPULNQ12A8C13955E	8
7950468,ec41aa5023fb24d189ce54cde925d83e44335626	SOHUOUZ12A8C13E121	12
18864541,ca4ca471d92f467933d80f2109098425d4bc00fd	SOUVSSQ12A8C13D8A1	2
11686274,176d2afcc095e12e97ed4a175b07f71b1088dc3e	SOAZFQH12A8C13D101	2
17873785,0cdc2acd6e508063ca7668424d878872260d12be	SOVYTXK12AB01800F5	4
15186024,d2f39b104be3a438880485d964698cbe9398e5da	SOKUIFQ12A6701DD74	1
4321921,29f6aa57b695d14df8ad449b027ba21d3de2dd8a	SONNOGA12A6BD56C24	1
28651482,9a835d8b3aaf56145b8645f26a9edd05d87b5e0e	SOWOZLK12A8C136B33	1
31898068,519d3d66866180addb99ee098a531347bf75fc0b	SOONVAG12A8C145227	1
22983772,e9091c656d33fa0df0b039842b163f7386778329	SOJEORL12AB0189A8B	1
23463871,2ea3f2ab6fc8a7327fee1756c6c0464e1240f580	SOWHWIU12AB01864A9	1
23724119,49e06d978dda3ea53a2729edbc37fab293d5fd24	SOHGSVV12AB017DF54	1
12963007,38e66259924bb41d798fa010ad4b86df666429b7	SOXUHKM12AB0182D67	1
765252,74a822c5cd64c8977a48fd0a4151e85034b7f483	SOZVVRE12A8C143150	18
34456233,4746db61f4802db484f84ad99cf47d1f43b51df6	SOTSDDI12AF72A591C	1
42887288,be12e7bbb6b4862ce092ca23912caaf51666c1a1	SOTAZAP12AF729FF55	1
21762748,dbdd500421a5b6a7bcaee4d533120408a2ed65be	SOTZIFG12A6D4FB169	1
29998353,3e9bd18f771a5b9bf4edb4d80044a1a06a0fc739	SOIITPO12A8C133A2B	2
7612070,b02473f44c31a449158f95920380d1408a9b20d2	SOHACEL12A8C1407BC	1
6222189,46b926758cd8cf4aee746b579c502ac4e39a8386	SOLGBMJ12A8C13941A	1
30367565,951d11713e79fca93d96cc4cb26c500cdef71e5b	SOEAHMG12A67AD7406	3
41904643,a5c27a9b79c2d8ae03a1e3948d0d321fc6fd8dbc	SOWDRRZ12A8C13AE89	1
3973123,72b7c0b7ef846805b61e7a82534beded246a95c2	SOLLNTU12A6701CFDC	7
20124934,1eafc92df977d7646cf1dcb0c09bdecb7ef3d2b6	SOYMIMI12AB0181E5C	2
15346431,d013cad94d3d1957b91cec2079ee73d7e0d2417c	SOYULNC12A8C143971	1
30447756,dc39610f3105be8667b63316fceb7698362654ad	SOFEZKE12A8AE48067	1
23672675,054cbfa5b0b2ff43d44ce6d18cf456d515471769	SOQKKJG12AB017D7E2	1
6695011,0dbabbb7471f1e274506426dbffb30a4bf1a8847	SOGLMSW12A67021D42	1
30152478,be42594218a85cf50ed6eed4bee40c7637e52b5b	SONMTMW12A58A7CEF8	1
13835817,34180d874a97ebff02e2122cee2170963e1a32af	SOVZAHK12A6D4F84B4	1
39424831,7554a6034b28ba299c60cc96d1565cbeb841e93e	SOQLXFB12A58A79681	1
6992435,d1ced0d308a6b0189c2f60f3c88a7279c0f9c70f	SOTCMDJ12A6D4F8528	1
9792714,1c201a8874f816c11871a2e8eb0b6e6dc26a2494	SOCDXUG12B0B8064EA	1
6714280,05dbc090ad83fda3b460da076241221d8338e8e3	SOCCHGF12A8C13FFBF	2
26880561,06ae8595b4abf676642cdf448346ebb6e997caa9	SODDNDV12AF72A986E	1
41479000,3fa9f5892c49522dbb2e1b1076b1baa1f42fa0de	SOHZLBF12A8C14472D	10
8579826,6507b0ad17494db3495bc1947b59e94513d06f6d	SOPIQOU12AB0181AE7	2
12307216,edb1efc284ff88a3b46b7b549af36ac21cb998c2	SOGQEAD12A6D4F877B	1
33336854,0438bbb6336ff9088c46d042a9c93cf2d92f6865	SOXGLCH12A6D4F51C4	2
16071878,543132852a3615abed26d13102711d8dca8c8553	SOTIVSJ12A6310DA82	1
23401384,fd562f45fef47d5be7cd9f0cd11a2ee2e584f79d	SOSVPIQ12AF729E564	2
31283471,198dd5b288e4fcf3f71762f0d25818f167489884	SOZUGZP12AB0184DD2	3
33913495,ec94f437370ec3e8576dc966e17efa3c31eb3dce	SOJLRGA12A8AE4778A	1
33265917,6c6030a318a0df3cebd0bf4b44e19e0009dcc959	SOLERYX12AB018672C	1
36089077,5c5ccff0e3d4379e5b2fa0fa3c82ed9a2ad5be53	SOLSZHA12AB0186BB4	3
36966455,f9b970b207576454a14e6563ff59e3c3d89f74f2	SOHEJZQ12A8C13DF91	1
35521386,f83812de5a4d18958ed0fb451dbcc10bc8137097	SOSUGSC12A6D4FB0C4	1
43860452,3b379f36cc846a1197cc41554715711c754d4a1f	SOGUDNT12A6D4F9061	1
35226598,303259f110398a62ade1ad5beaa5b44260a530c5	SOJJVWR12A58A7F4E9	6
40354070,722be18c4f5717102db6964a9577e3147966e2ca	SOOWRBS12AF729FEFC	1
16243053,9a0c85305e4325c30187f696450709b1b76d7ef1	SOIBLKQ12AB0183E85	1
38963161,3ab4b51bc60757de1da2de4f3d31660a5fbc6e8b	SOXLELC12A81C218C7	1
25552880,bcc2999ae660bea62733efe05beaf5bbe756a9d5	SOIMRLG12A6D4F5031	1
20613699,6795e61703d7da1dad2344a97425284c1b8642e5	SORJOVT12AB018C4B4	1
46672943,70fd8c66ede1faf1c4ebd0452e52c7417e9f02ed	SOOLNMT12A58A7E8B8	1
27911399,22dc54a1d0055db87fce8480c92426d80bda36a1	SOIZLVK12AC468C3BA	1
28282868,9722f35c4f889f443545e073a648470f2dca50c3	SOHLEPV12A81C200BB	5
29036433,228213b4a07512be7eec98cbb464b337f7da64bd	SOSSSAB12A8AE47458	1
45555251,e36045d9d3885c7022bf89c1e1432ddceee0ea5f	SOEVQDY12A8C1376F3	19
10472081,411ac6aca2f9bc90624fe845d967dfbaee5f6fa5	SOBAKOT12A67021B3D	6
10648030,171f1a84d764fd3cb51d2f8e272e13c03327a2f2	SOPXSDJ12AB0184095	3
26699140,338d11f4b5234a44445769e006e5000faf61c6c1	SOSLQQJ12AB017BDCC	1
16950935,0f057b7b3aec7f1d4401ed8597a23ef3268d3152	SOSRYZU12A8C13FB7A	1
31131,6e90c8066ef7a7271b0b0365ffd705caa4e904ea	SORQDYK12A6D4F9F1D	14
14883831,5a31ec666e0e7febdc01e127284bcd8583931797	SONHVVE12AB018D038	3
1156441,e2a0cb81755e84321730f408568ef0eac335ce39	SOPILMY12A8151AB6A	1
24232258,7f77f040f635d2a8ee432376d05327839046c393	SOVSWZZ12AB0185231	2
11915892,66e90268b47c5dc60b2058ed24240d271be35b96	SOHXVHL12AF729EB85	3
1388521,1a900171811a6594117d7866a9657dd0260dab2b	SORRQEJ12A8C138A02	1
28454594,5ddad7e090ae7a9048a7252bb63ddaece3da1374	SOZXMYX12AB018A445	1
28947314,cd6dd1eb819dfdbf6c04b177e66421d2c7e73c0f	SOINUJV12A8C1429E9	1
9976438,f3182a00b9bfcc96a142134d0bc1197eadbd11fa	SOOMGKX12AB01856FF	38
16724036,88ce5c1fe46867aa7c025139711c65dfe1cf557f	SOPJDHW12A8AE47C1C	2
18573581,2c1fefd1eb7ae2e89385e7c41b35a229ca72d9f1	SOYGHUM12AB018139C	4
31979520,18b8e6e960092083359e444524a4ac0cc7febd1d	SOLWRZI12A6D4FC4F0	1
4051132,dad536da78c382082ed508d7b19cfe5b7222804f	SOJATHF12A58A7694E	1
2140415,4d8163e9958e47e1411fc3aabcc022897d9c1e68	SOQULRR12A8C1374D6	5
4875166,19b1eeb8d764228fefeb02bf3d4863c8a185d4c8	SONEUEV12A8C14373B	1
7064626,1411625e9c399dae91e0cc46fdfa93056ba47e90	SOHLLST12A6D4F777A	1
28835467,7e068b0d4dc8bb54c534e75c1fd07fdf51fec328	SOKNSEX12AB0182843	7
31995529,737dbc684853f83b47db966040c0c92f024b0b16	SOXILLO12A6310F1B6	3
21082672,b92fb5bcefe966ff45669da3b6d293f956211e70	SOAYETG12A67ADA751	2
33666214,67609dbba3c08f76b85fe36e704ee777bd894e97	SOFDYVL12AB01883B2	1
40130236,3f7b9064511cd4e8843e0976a2dba24cbd467a1b	SOASLYV12AB01876C4	1
34027468,b0026ca283b8da6eccd18e37a70b43ee532c1d73	SOCBXKD12A8C145834	1
31698711,4ee7b443e3f7574da8f55ae977b158cd12ddd335	SOUKQFV12AB0184DFE	2
20373662,fdc718cfc3bbdecb804fd706181f14a9c8510294	SOATBBA12A6D4F5998	1
34706340,abbb886b86f59601a00e4b3493b334610728bd81	SOLXVIB12AB01807E6	1
37986794,83b6014ae1314f69beb548bfd858254e09092f32	SOXJQPM12A6701EB91	1
36025112,87d631b1176d2a1c12a9663314b7d7946445786b	SOFTZUB12AB0188C67	1
29793985,555590e1a164669e33a3bdd0ef8db9da785edf7f	SOODIHV12AB018065C	1
32448311,3d0823bdb90789c436aefa6e6a15c116f7626134	SORFVMQ12AB0184135	1
33880543,e4ada992c1d676c425ea5e1f9e0ee18fe6e24326	SOWTYVO12AB0180BDA	1
29803731,7fcd0ab3fb63dc02636b183601b5f6016ca7f5a4	SOWRTJD12A8C132704	1
